0 	0
1 	3
2 	1
3 	0
4 	2
5 	0
6 	0
7 	2
8 	1
9 	0
10 	0
11 	0
12 	0
13 	0
14 	3
15 	0
16 	1
17 	0
18 	6
19 	2
20 	2
21 	5
22 	2
23 	4
24 	2
25 	3
26 	1
27 	0
28 	2
29 	2
30 	3
31 	2
32 	1
33 	3
34 	0
35 	2
36 	4
37 	3
38 	3
39 	6
40 	7
41 	9
42 	4
43 	7
44 	0
45 	5
46 	5
47 	8
48 	3
49 	5
50 	4
51 	4
52 	1
53 	4
54 	0
55 	1
56 	5
57 	4
58 	2
59 	4
60 	0
61 	4
62 	6
63 	4
64 	2
65 	5
66 	0
67 	0
68 	3
69 	3
70 	3
71 	4
72 	0
73 	1
74 	2
75 	0
76 	0
77 	0
78 	0
79 	0
80 	3
81 	0
82 	4
83 	5
84 	2
85 	0
86 	2
87 	2
88 	1
89 	2
90 	3
91 	4
92 	3
93 	4
94 	0
95 	2
96 	1
97 	0
98 	0
99 	1
