0 	1
1 	2
2 	1
3 	1
4 	5
5 	2
6 	2
7 	4
8 	0
9 	4
10 	0
11 	2
12 	1
13 	5
14 	1
15 	3
16 	4
17 	2
18 	2
19 	0
20 	3
21 	0
22 	0
23 	0
24 	3
25 	0
26 	2
27 	2
28 	0
29 	2
30 	0
31 	4
32 	6
33 	4
34 	2
35 	2
36 	0
37 	0
38 	4
39 	4
40 	1
41 	2
42 	2
43 	0
44 	3
45 	5
46 	6
47 	4
48 	4
49 	3
50 	2
51 	2
52 	4
53 	1
54 	6
55 	0
56 	3
57 	2
58 	2
59 	4
60 	3
61 	4
62 	0
63 	2
64 	3
65 	3
66 	0
67 	0
68 	4
69 	0
70 	1
71 	3
72 	2
73 	4
74 	0
75 	2
76 	3
77 	1
78 	2
79 	2
80 	4
81 	3
82 	1
83 	2
84 	3
85 	2
86 	3
87 	2
88 	3
89 	3
90 	5
91 	4
92 	0
93 	5
94 	4
95 	2
96 	1
97 	3
98 	2
99 	1
